"1-AI_VCHR","VCHR_VEND_NO","VCHR_NO","BAT_ID","VCHR_DIST_DAT","VCHR_INVC_DAT","VCHR_INVC_NO","VCHR_REF","VEND_NAM","NON_DISC_AMT","DUE_DAT","DISC_DAT","DISC_AMT","VARIANCE_AMT","PO_NO","VCHR_MISC_AMT_1","VCHR_MISC_AMT_2","VCHR_MISC_AMT_3","VCHR_MISC_AMT_4","VCHR_MISC_AMT_5","VCHR_TOT_MISC","VCHR_SUB_TOT","VCHR_SUB_TOT_LANDED","VCHR_TOT","LIN_MISC_CHRG_1","LIN_MISC_CHRG_2","LIN_MISC_CHRG_3","LIN_MISC_CHRG_4","LIN_MISC_CHRG_5","TOT_LIN_MISC_CHRG","NO_OF_RECVRS","RECVR_MISC_AMT_1","RECVR_MISC_AMT_2","RECVR_MISC_AMT_3","RECVR_MISC_AMT_4","RECVR_MISC_AMT_5","RECVR_TOT_MISC","RECVR_SUB_TOT","RECVR_TOT","TERMS_COD","DUE_DAYS","DISC_DAYS","DISC_PCT","DISC_ACCT_NO","CP_DISC_ACCT_NO","SPEC_TERMS","VEND_TERMS"
"2-AI_VCHR_DIST","VCHR_VEND_NO","VCHR_NO","SEQ_NO","ACCT_NO","CP_ACCT_NO","AMT"
"1-AI_VCHR","0000032","45288","AP-0001","08/13/2025","04/03/2025","45288","","Accent & Cannon","0.00","05/03/2025","04/03/2025","0.00","0.00","EXE-0425","0.00","0.00","0.00","0.00","0.00","0.00","1643.94","1643.94","1643.94","0.00","0.00","0.00","0.00","0.00","0.00","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","N30","30","0","0.00","0697-099","","",""
"2-AI_VCHR_DIST","0000032","45288","0","0697-099","0697-099","1643.94"
1-AI_VCHR,0000222,SE-18335,05/01/25,05/31/25,AP-0001,PO# FLYWEIGHT525,,Badfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-AI_VCHR_DIST,0,0,0,0,140-000,1250.00
2-AI_VCHR_DIST,0,0,0,0,520-000,175.00
1-AI_VCHR,0000222,SE-18470,05/09/25,06/08/25,AP-0001,PO# 123,,Badfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-AI_VCHR_DIST,0,0,0,0,140-000,55.95
2-AI_VCHR_DIST,0,0,0,0,520-000,123.00
1-AI_VCHR,0000222,SE-19565,06/09/25,07/09/25,AP-0001,PO# BADFISH-625,,Badfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-AI_VCHR_DIST,0,0,0,0,140-000,5480.44
2-AI_VCHR_DIST,0,0,0,0,520-000,123.00
