vendor_name,approach
Angler's Book Supply,bottom_minus_ship
Antigravity Gear LLC,bottom_calculated
Arcade Belts Inc,bottom_minus_ship
Arc'teryx,bottom_minus_ship
Confluence Outdoor Inc.,bottom_minus_ship
Dapper Ink LLC,bottom_minus_ship
Gear Aid,bottom_minus_ship
Goorin Bros,bottom_minus_ship
Grundens,bottom_minus_ship
Hadley Wren,bottom_minus_ship
"HQ Kites & Designs USA, Inc",bottom_minus_ship
Hydrapak,bottom_minus_ship
"Industrial Revolution, Inc",bottom_minus_ship
Jackson Kayak,bottom_minus_ship
johnnie-O,bottom_minus_ship
Joshua Tree Products,bottom_minus_ship
Korkers Products LLC,bottom_minus_ship
Leatherman Tools,bottom_minus_ship
Leki,bottom_minus_ship
Liberty Mountain Sports,bottom_minus_ship
Malone,bottom_minus_ship
Merrell,bottom_minus_ship
Montana Fly Company,bottom_minus_ship
New River Gear,bottom_minus_ship
Newport Vessels,bottom_minus_ship
NOCS Provisions,bottom_minus_ship
Nomadix,bottom_minus_ship
"Noso, LLC",bottom_minus_ship
O'Neill,bottom_minus_ship
"Opinel USA, Inc",bottom_minus_ship
Panache Apparel,bottom_minus_ship
Pisgah Map Co. LLC,bottom_minus_ship
"Reef Lifestyle, LLC",bottom_minus_ship
Salomon,bottom_minus_ship
Saxx Underwear,bottom_minus_ship
Scientific Anglers LLC,bottom_minus_ship
Smith Sport Optics,bottom_minus_ship
Sunday Afternoons,bottom_minus_ship
Swell Watercraft,bottom_minus_ship
TEVA,bottom_minus_ship
Treadlabs,bottom_minus_ship
Turtlebox Audio LLC,bottom_minus_ship
"Victorinox Swiss Army, Inc.",bottom_minus_ship
Werner Paddles,bottom_minus_ship
Wild Tribute,bottom_minus_ship
Yeti Coolers,bottom_minus_ship
BioLite,bottom_most
Birkenstock USA,bottom_most
Chubbies Inc,bottom_most
Chums,bottom_most
Eagle Creek,bottom_most
Free Fly Apparel,bottom_most
Gregory Mountain Products,bottom_most
Hydro Flask,bottom_most
IceMule Company,bottom_most
KATIN,bottom_most
Keen Inc,bottom_most
Patagonia,bottom_most
Roxy,bottom_most
Ruffwear,bottom_most
Scout Curated Wears,bottom_most
Secrid,bottom_most
Sterling Rope Company Inc,bottom_most
Thread Wallets,bottom_most
TOPO ATHLETIC,bottom_most
Astral Footwear,calculated
"Eagles Nest Outfitters, Inc.",calculated
Fulling Mill Fly Fishing LLC,calculated
Howler Brothers,calculated
Johnson Outdoors,calculated
National Geographic Maps,calculated
Nemo Equipment Inc,calculated
Nite Ize Inc,calculated
Oboz Footwear LLC,calculated
Olukai LLC,calculated
"Osprey Packs, Inc",calculated
Temple Fork Outfitters,calculated
Toad & Co,calculated
Columbia River,gross
Columbia Sportswear,gross
"Hareline Dubbin, Inc",gross
"Korkers Products, LLC",gross
Marine Layer,gross
ON Running,gross
Oregon Freeze Dry,gross
Outdoor Research,gross
Smartwool,gross
The North Face,gross
Waboba Inc,gross
Wapsi Fly,gross
Yak Attack,gross
Badfish,label
"BIG Adventures, LLC",label_calculated
Accent & Cannon,label_minus_ship
Cotopaxi,label_minus_ship
Hoka,label_minus_ship
Loksak,label_minus_ship
Vuori,label_minus_ship
Darn Tough,second_from_bottom
Rio Products,subtotal_minus_discount
Big Agnes Inc,bottom_calculated
Black Diamond Equipment Ltd,bottom_calculated
Carve Designs,bottom_calculated
Crazy Creek Products Inc,bottom_calculated
Fishpond,bottom_calculated
GCI Outdoor,bottom_calculated
Helinox,bottom_calculated
NuCanoe,bottom_calculated
Sea to Summit,bottom_calculated
Solitude Fly Company Inc,bottom_calculated
Umpqua Feather Merchants,bottom_calculated
Rumpl,gross_calculated
Simms,label
Artilect,bottom_most
Chaos Headwear,bottom_minus_ship
Danner,bottom_minus_ship
Dovetail,calculated
Gentle Fawn,bottom_minus_ship
GSI Sports Products Inc,calculated
"Hobie Cat Company II, LLC",bottom_minus_ship
Kuhl,calculated
Lemon,bottom_minus_ship
Long Leaf Services,bottom_minus_ship
North Country Flies and Angling,bottom_minus_ship
Owala,bottom_minus_ship
Richardson,bottom_minus_ship
Seirus Innovation,calculated
"Sendero Provisions Co., LLC",bottom_minus_ship
Sherpa,gross
Sherpani LLC,bottom_minus_ship
Tite Line Fishing Products LLC,calculated
Yakima,bottom_minus_ship
"Hestra Gloves, LLC",calculated
Sea-lect Designs,bottom_calculated
Kavu,bottom_calculated
Camp USA,calculated
Blundstone,bottom_calculated
